Date,EURUSD25R1M BGN Curncy  (R1),USDJPY25R1M BGN Curncy  (R2),EURJPY25R1M BGN Curncy  (L1)
40371,-1.1875,-1.76,-3.3774999999999999
40368,-1.1475,-1.855,-3.38
40367,-0.96499999999999997,-2.04,-3.5625
40366,-0.97250000000000003,-2.3050000000000002,-3.8675000000000002
40365,-0.95499999999999996,-2.1625000000000001,-3.9024999999999999
40364,-1.0649999999999999,-2.2524999999999999,-3.9049999999999998
40361,-1.1200000000000001,-2.33,-3.9624999999999999
40360,-1.36,-2.3725000000000001,-4.0674999999999999
40359,-1.6625000000000001,-2.0825,-4.0475000000000003
40358,-1.7250000000000001,-1.9575,-4.1574999999999998
40357,-1.5375000000000001,-1.6850000000000001,-3.63
40354,-1.5625,-1.71,-3.6625000000000001
40353,-1.5625,-1.42,-3.58
40352,-1.54,-1.2675000000000001,-3.4550000000000001
40351,-1.4275,-1.165,-3.34
40350,-1.3274999999999999,-1.1850000000000001,-3.4049999999999998
40347,-1.4924999999999999,-1.3049999999999999,-3.5225
40346,-1.5475000000000001,-1.3325,-3.5775000000000001
40345,-1.6025,-1.2925,-3.5049999999999999
40344,-1.615,-1.4450000000000001,-3.8275000000000001
40343,-1.5549999999999999,-1.5674999999999999,-3.8075000000000001
40340,-1.9424999999999999,-1.7324999999999999,-4.2175000000000002
40339,-2.13,-1.7875000000000001,-4.3949999999999996
40338,-2.5350000000000001,-1.925,-4.6449999999999996
40337,-2.7450000000000001,-1.9750000000000001,-4.8600000000000003
40336,-3.0550000000000002,-2.0024999999999999,-4.8899999999999997
40333,-3.145,-1.7875000000000001,-4.3550000000000004
40332,-2.9424999999999999,-1.7,-4.0650000000000004
40331,-3.0350000000000001,-1.9724999999999999,-4.0374999999999996
40330,-3.06,-2.4350000000000001,-4.22
40329,-2.9325000000000001,-2.3224999999999998,-4.0750000000000002
40326,-2.9175,-2.4624999999999999,-4.0650000000000004
40325,-2.9249999999999998,-2.7450000000000001,-4.1849999999999996
40324,-2.9575,-3.13,-4.5175000000000001
40323,-2.9649999999999999,-3.4024999999999999,-4.6974999999999998
40322,-2.6175000000000002,-3.1825000000000001,-4.6150000000000002
40319,-2.5950000000000002,-3.51,-4.8224999999999998
40318,-2.73,-3.4575,-4.9400000000000004
40317,-2.8650000000000002,-2.5325000000000002,-4.6574999999999998
40316,-2.62,-2.0375000000000001,-4.1449999999999996
40315,-2.7275,-2.0674999999999999,-4.1524999999999999
40312,-2.46,-1.8825000000000001,-3.9775
40311,-2.33,-1.575,-3.4224999999999999
40310,-2.5924999999999998,-1.7725,-3.3250000000000002
40309,-3,-2.1,-3.64
40308,-2.8125,-2.2025000000000001,-3.4874999999999998
40305,-2.9525000000000001,-2.5525000000000002,-4.1275000000000004
40304,-2.7275,-2.1124999999999998,-4.0824999999999996
40303,-2.1625000000000001,-0.84,-2.6575000000000002
40302,-1.905,-0.72,-2.3925000000000001
40301,-1.8474999999999999,-0.67,-1.9675
40298,-1.6924999999999999,-0.78,-1.9975000000000001
40297,-1.7875000000000001,-0.88,-2.0649999999999999
40296,-1.925,-0.91,-2.2149999999999999
40295,-1.6225000000000001,-0.91,-2.0724999999999998
40294,-1.4675,-0.79,-1.67
40291,-1.5149999999999999,-0.86499999999999999,-1.7649999999999999
40290,-1.4,-0.99250000000000005,-1.86
40289,-1.165,-0.96250000000000002,-1.67
40288,-1.1525000000000001,-0.99750000000000005,-1.7775000000000001
40287,-1.1875,-1.1599999999999999,-1.8975
40284,-1.0475000000000001,-0.99250000000000005,-1.7150000000000001
40283,-1.0175000000000001,-0.8075,-1.575
40282,-0.88,-0.79749999999999999,-1.5149999999999999
40281,-0.98499999999999999,-0.83250000000000002,-1.5149999999999999
40280,-1.01,-0.74750000000000005,-1.5249999999999999
40277,-1.2575000000000001,-0.71250000000000002,-1.6274999999999999
40276,-1.3525,-0.72499999999999998,-1.85
40275,-1.37,-0.55249999999999999,-1.595
40274,-1.2825,-0.41249999999999998,-1.52
40273,-1.18,-0.22,-1.23
40270,-1.165,-0.14249999999999999,-1.06
40269,-1.1950000000000001,-0.1925,-1.1200000000000001
40268,-1.2424999999999999,-7.0000000000000007E-2,-1.1575
40267,-1.2350000000000001,-0.13250000000000001,-1.2250000000000001
40266,-1.41,-8.7499999999999994E-2,-1.2424999999999999
40263,-1.5375000000000001,-6.5000000000000002E-2,-1.2549999999999999
40262,-1.57,-0.14249999999999999,-1.23
40261,-1.5425,-0.30249999999999999,-1.4
40260,-1.2975000000000001,-0.49,-1.4675
40259,-1.31,-0.51,-1.4350000000000001
40256,-1.1950000000000001,-0.39250000000000002,-1.2749999999999999
40255,-1.0525,-0.40250000000000002,-1.325
40254,-0.91,-0.51500000000000001,-1.37
40253,-1.0349999999999999,-0.49,-1.49
40252,-1.0175000000000001,-0.435,-1.385
40249,-1.0075000000000001,-0.3175,-1.425
40248,-1.2275,-0.29249999999999998,-1.4750000000000001
40247,-1.26,-0.36499999999999999,-1.5325
40246,-1.2849999999999999,-0.43,-1.625
40245,-1.22,-0.42,-1.6375
40242,-1.4475,-0.65,-1.91
40241,-1.4775,-0.78,-2.0750000000000002
40240,-1.4325000000000001,-0.87250000000000005,-2.1800000000000002
40239,-1.4924999999999999,-0.86,-2.2599999999999998
40238,-1.5049999999999999,-0.86750000000000005,-2.33
40235,-1.53,-0.88500000000000001,-2.4649999999999999
40234,-1.645,-0.88500000000000001,-2.4350000000000001
40233,-1.4775,-0.6825,-2.1850000000000001
40232,-1.4524999999999999,-0.53500000000000003,-2.17
40231,-1.5024999999999999,-0.61250000000000004,-1.905
40228,-1.6125,-0.58750000000000002,-1.9850000000000001
40227,-1.5275000000000001,-0.63,-2.0225
40226,-1.5024999999999999,-0.70250000000000001,-2.02
40225,-1.5475000000000001,-0.90500000000000003,-2.2225000000000001
40224,-1.6325000000000001,-0.98,-2.2675000000000001
40221,-1.6975,-1.0974999999999999,-2.3374999999999999
40220,-1.6174999999999999,-1.2250000000000001,-2.35
40219,-1.4275,-1.2124999999999999,-2.4550000000000001
40218,-1.5024999999999999,-1.4,-2.6349999999999998
40217,-1.69,-1.4875,-2.7149999999999999
40214,-1.7050000000000001,-1.5049999999999999,-2.6775000000000002
40213,-1.4650000000000001,-1.37,-2.2250000000000001
40212,-1.1525000000000001,-0.89,-1.7275
40211,-1.2150000000000001,-1.0349999999999999,-1.8149999999999999
40210,-1.2949999999999999,-1.075,-1.9125000000000001
40207,-1.335,-1.1174999999999999,-1.9850000000000001
40206,-1.3125,-1.19,-1.97
40205,-1.3625,-1.5149999999999999,-2.23
40204,-1.3049999999999999,-1.3875,-2.29
40203,-1.2725,-1.2350000000000001,-2.1124999999999998
40200,-1.38,-1.2450000000000001,-2.2000000000000002
40199,-1.47,-1.0049999999999999,-2.0975000000000001
40198,-1.17,-0.91249999999999998,-1.8325
40197,-1.1725000000000001,-0.875,-1.72
40196,-0.88,-0.92500000000000004,-1.6625000000000001
40193,-0.88500000000000001,-0.86499999999999999,-1.93
40192,-0.74250000000000005,-0.77249999999999996,-1.47
40191,-0.72250000000000003,-0.72499999999999998,-1.4675
40190,-0.71750000000000003,-0.84,-1.5125
40189,-0.71250000000000002,-0.64249999999999996,-1.3774999999999999
40186,-0.97250000000000003,-0.58750000000000002,-1.3525
40185,-1.07,-0.48749999999999999,-1.375
40184,-1.1174999999999999,-0.6825,-1.5425
40183,-1.1225000000000001,-0.64749999999999996,-1.5825
40182,-1.2375,-0.32250000000000001,-1.4375
40179,-1.2875000000000001,-0.315,-1.5125
40178,-1.2524999999999999,-0.33,-1.4175
40177,-1.2324999999999999,-0.33750000000000002,-1.36
40176,-1.2549999999999999,-0.33750000000000002,-1.3925000000000001
40175,-1.3374999999999999,-0.39,-1.61
40172,-1.3075000000000001,-0.34250000000000003,-1.59
40171,-1.3425,-0.34250000000000003,-1.4675
40170,-1.3149999999999999,-0.36249999999999999,-1.45
40169,-1.3125,-0.48,-1.5349999999999999
40168,-1.2324999999999999,-0.505,-1.6225000000000001
40165,-1.355,-0.55500000000000005,-1.65
40164,-1.5575000000000001,-0.62,-1.68
40163,-1.43,-0.63749999999999996,-1.575
40162,-1.4025000000000001,-0.69750000000000001,-1.66
40161,-1.2749999999999999,-0.96250000000000002,-1.865
40158,-1.2,-0.83499999999999996,-1.7475000000000001
40157,-1.17,-1.1000000000000001,-1.96
40156,-1.2350000000000001,-1.18,-2.085
40155,-1.1975,-1.165,-1.9175
40154,-1.2024999999999999,-0.8175,-1.605
40151,-1.2024999999999999,-0.73499999999999999,-1.4550000000000001
40150,-1.1399999999999999,-1.2450000000000001,-1.95
40149,-1.1074999999999999,-1.47,-2.15
40148,-1.1875,-1.7075,-2.35
40147,-1.1675,-2.2250000000000001,-2.7625000000000002
40144,-1.2450000000000001,-2.4024999999999999,-3.01
40143,-0.89500000000000002,-2.1225000000000001,-2.84
40142,-0.79749999999999999,-1.375,-2.3174999999999999
40141,-0.90500000000000003,-0.97250000000000003,-2
40140,-0.89,-0.97499999999999998,-1.8875
40137,-0.91249999999999998,-0.97750000000000004,-1.98
40136,-0.83,-0.90500000000000003,-1.97
40135,-0.76749999999999996,-0.84750000000000003,-1.8049999999999999
40134,-0.83499999999999996,-0.93500000000000005,-1.845
40133,-0.82250000000000001,-0.89500000000000002,-1.6875
40130,-0.85750000000000004,-0.89,-1.68
40129,-0.89749999999999996,-0.94,-1.6575
40128,-0.745,-1.0649999999999999,-1.75
40127,-0.74750000000000005,-0.99750000000000005,-1.5925
40126,-0.74,-1.0325,-1.6975
40123,-0.96250000000000002,-1.0525,-1.7324999999999999
40122,-0.99250000000000005,-1.075,-1.7375
40121,-0.96499999999999997,-1.1950000000000001,-1.7475000000000001
40120,-1.0475000000000001,-1.3425,-1.86
40119,-0.86,-1.3274999999999999,-1.7975000000000001
40116,-0.76500000000000001,-1.0974999999999999,-1.5475000000000001
40115,-0.79749999999999999,-1.0925,-1.4650000000000001
